Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","L829-1J1T-43","Gigabit MagJack(R) Ultra Low Profile, 10/100/1000 Base-T, 19-Pin THD, RoHS, Tray","J10","CMP-1715-00001-1","Released","Up to date","1","","","","","","",""
"","IHLP1616BZER1R0M11","Fixed Inductors Commercial Low DCR Series SMT 1uH 4.5A 27mO 20%","L1","CMP-02424-000223-1","New From Design","Up to date","1","","","","","","",""
"","ERJ-2RKF4990X","","R1, R15","CMP-2002-00965-1","Released","Out of date","2","","","","","","",""
"","CR0402-FX-4701GLF","","R2, R8, R60, R99, R100, R101","CMP-2002-05217-1","Released","Up to date","6","","","","","","",""
"","RK73Z1ETTP","","R3, R6, R11, R12, R13, R14, R16, R19, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R40, R41, R42, R43, R45, R61, R62, R64, R65, R66, R68, R71","CMP-2002-04569-1","Released","Out of date","38","","","","","","",""
"","RC0402FR-13100KL","","R4","CMP-2002-07852-1","Released","Up to date","1","","","","","","",""
"","RC0402FR-073K6L","","R7","CMP-2002-07657-1","Released","Up to date","1","","","","","","",""
"","MC00625W040216K8","","R9","CMP-2002-06323-1","Released","Up to date","1","","","","","","",""
"","MC00625W04021220R","","R17, R18, R20","CMP-2002-06050-1","Released","Up to date","3","","","","","","",""
"","CRCW040210K0JNED","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402","R46, R47, R50, R51, R52, R53, R54, R56, R57, R63, R67, R76, R79, R80, R81","CMP-2002-08136-3","New From Design","Up to date","15","","","","","","",""
"","CRCW040222K0FKED","","R48","CMP-1011-00659-2","Released","Up to date","1","","","","","","",""
"","CRCW0402200RFKED","RES Thick Film, 200O, 1%, 0.063W, 100ppm/°C, 0402","R49","CMP-1011-00429-3","New From Design","Up to date","1","","","","","","",""
"","RK73H1ETTP5102F","","R70","CMP-2002-04458-1","Released","Up to date","1","","","","","","",""
"","RK73H1ETTP1132F","","R72","CMP-2002-04194-1","Released","Up to date","1","","","","","","",""
"","ERJ2GE0R00X","Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel","R102","CMP-2000-07451-1","Released","Up to date","1","","","","","","",""
"","ERJ-2RKF2000X","RES SMD 200 OHM 1% 1/10W 0402","R142","CMP-2002-00757-2","Released","Up to date","1","","","","","","",""
"","CAT24C32WI-GT3","I2C CMOS Serial EEPROM, 32 Kb, 1.7 to 5.5 V, -40 to 85 degC, 8-Pin SOIC (751BD), RoHS, Tape and Reel","U1","CMP-1679-00009-1","Released","Up to date","1","","","","","","",""
"","NX3DV221TK","USB Switch IC 1 Channel 10-HVSON (3x3)","U2","CMP-10103-000005-1","New From Design","Up to date","1","","","","","","",""
"","MPM3630GQV-P","DC DC CONVERTER 0.6-18V","U3","CMP-57379-000007-1","New From Design","Up to date","1","","","","","","",""
"","I225","","U5","","Not managed","","1","","","","","","",""
"","SST25VF016B-50-4C-S2AF","16 Mbit SPI Serial Flash, 2.7 to 3.6 V, 50 MHz, 0 to 70 degC, 8-pin SOIC (S2A8), Tube","U6","CMP-0378-00041-1","Released","Up to date","1","","","","","","",""
"","TPD4EUSB30DQAR","ESD Solution for Super-Speed (6 GBPS) USB 3.0 Interface, 4 Channels, -40 to +85 degC, 10-pin SON (DQA), Green (RoHS & no Sb/Br)","U12, U14","CMP-0326-00027-3","Released","Up to date","2","","","","","","",""
"","ABM8G-25.000MHZ-18-D2Y-T","CRYSTAL 25.0000MHZ 18PF SMD","Y1","CMP-2000-05733-2","New From Design","Out of date","1","","","","","","",""
