Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 245275  Y 139173
X 249212  Y 139173
X 253149  Y 139173
X 233464  Y 135236
X 237401  Y 135236
X 229527  Y 135236
X 249212  Y 135236
X 253149  Y 135236
X 245275  Y 135236
X 229527  Y 131299
X 245275  Y 131299
X 249212  Y 131299
X 253149  Y 131299
X 253149  Y 127362
X 229527  Y 127362
X 237401  Y 123425
X 245275  Y 123425
X 233464  Y 123425
X 249212  Y 123425
X 253149  Y 123425
X 241338  Y 119488
X 253149  Y 119488
X 233464  Y 119488
X 237401  Y 119488
X 245275  Y 115551
X 229527  Y 115551
X 233464  Y 111614
X 245275  Y 111614
X 237401  Y 111614
X 229527  Y 111614
X 237401  Y 107677
X 245275  Y 107677
X 253149  Y 107677
X 229527  Y 107677
X 237401  Y 103740
X 253149  Y 103740
X 245275  Y 103740
X 229527  Y 103740
X 237401  Y 99803
X 229527  Y 99803
X 233464  Y 99803
X 245275  Y 99803
X 253149  Y 99803
X 249212  Y 99803
X 253149  Y 95866
X 245275  Y 95866
X 237401  Y 87992
X 249212  Y 87992
X 229527  Y 87992
X 245275  Y 87992
X 229527  Y 84055
X 237401  Y 84055
X 249212  Y 84055
X 229527  Y 80118
X 237401  Y 80118
X 249212  Y 80118
X 245275  Y 80118
X 229527  Y 76181
X 249212  Y 76181
X 237401  Y 76181
X 237401  Y 72244
X 245275  Y 72244
X 229527  Y 72244
X 249212  Y 72244
X 229527  Y 68307
X 233464  Y 68307
X 245275  Y 68307
X 253149  Y 68307
X 249212  Y 68307
X 245275  Y 64370
X 233464  Y 64370
X 249212  Y 64370
X 253149  Y 64370
X 242322  Y 23622
X 239173  Y 23622
X 262007  Y 23622
X 258858  Y 23622
X 277755  Y 23622
X 274606  Y 23622
X 261023  Y 68307
X 268897  Y 68307
X 276771  Y 68307
X 272834  Y 68307
X 257086  Y 72244
X 264960  Y 76181
X 268897  Y 76181
X 257086  Y 76181
X 276771  Y 76181
X 272834  Y 76181
X 257086  Y 80118
X 264960  Y 84055
X 268897  Y 84055
X 272834  Y 84055
X 276771  Y 84055
X 257086  Y 84055
X 272834  Y 87992
X 257086  Y 87992
X 264960  Y 91929
X 276771  Y 95866
X 264960  Y 99803
X 257086  Y 99803
X 268897  Y 103740
X 272834  Y 107677
X 257086  Y 107677
X 261023  Y 107677
X 264960  Y 115551
X 268799  Y 119488
X 264960  Y 119488
X 272834  Y 119488
X 261023  Y 123425
X 257086  Y 123425
X 264960  Y 127362
X 268897  Y 127362
X 257086  Y 131299
X 261023  Y 131299
X 264960  Y 135236
X 272834  Y 135236
X 261023  Y 135236
X 268897  Y 135236
X 261023  Y 139173
X 264960  Y 139173
X 276771  Y 139173
X 261023  Y 143110
X 264960  Y 143110
X 272834  Y 143110
X 268897  Y 147047
X 272834  Y 147047
X 261023  Y 147047
X 276771  Y 147047
X 264960  Y 147047
X 272834  Y 150984
X 261023  Y 150984
X 276771  Y 150984
X 268897  Y 150984
X 264960  Y 150984
X 257086  Y 150984
X 257086  Y 154921
X 276771  Y 154921
X 268897  Y 154921
X 272834  Y 154921
X 261023  Y 154921
X 264960  Y 154921
X 257086  Y 158858
X 272834  Y 158858
X 261023  Y 158858
X 276771  Y 158858
X 264960  Y 158858
X 268897  Y 158858
X 272834  Y 162795
X 257086  Y 162795
X 261023  Y 162795
X 276771  Y 162795
X 268897  Y 162795
X 264960  Y 162795
X 261023  Y 166732
X 264960  Y 166732
X 268897  Y 166732
X 266437  Y 293700
X 256988  Y 293700
X 274311  Y 293700
X 264173  Y 311122
X 301870  Y 318110
X 291830  Y 317716
X 281988  Y 317716
X 298031  Y 270374
X 292519  Y 256102
